Sample	Stimulation	Cell_line	Diff_start	Iso	Eve_sample	Genotype	RIN	Addl_seq	Genewiz_ID	Cell_line_Diff_start	PCT_MRNA_BASES	PCT_RIBOSOMAL_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_PF_READS_ALIGNED	summed_mean	PERCENT_DUPLICATION	total_reads	uniquely_mapped_percent	ADAR	ADARB1	APOBEC3H	APOBEC3G	APOBEC3C	APOBEC3F	APOBEC3B
1-SDD00456	Basal	WT	20200926	Iso_2	e1	wt	9.9	Y	SDD00456	WT_20200926	91.1185	0.8811	6.7503	1.2501	0.938559	477.318492	0.244137	31245420	90.46	4.373742415086184	1.6544112780768316	1.4586150226995167	1.8066480817218056	3.746440564638468	0.8153648132841945	2.2438960966453663
10-SDD00465	Basal	A9	20200926	Iso_2	e10	het	9.8	N	SDD00465	A9_20200926	92.5098	1.1474	5.1699	1.1729	0.948356	508.314157	0.29244	33830170	91.69	4.380775852772229	2.080690761080268	1.0543120297715298	2.0241930674493576	4.120174738923119	0.8796267475025636	1.4701758451005928
11-SDD00466	IFNg	A9	20200926	Iso_2	e11	het	10	N	SDD00466	A9_20200926	92.4633	1.2394	5.0158	1.2814	0.944811	496.369964	0.311075	36130587	91.2	4.807947751349428	1.5665304114228238	1.5173226235262949	3.77413929806476	4.334148554429418	2.1564025828159643	0.708035793053696
12-SDD00467	LPS	A9	20200926	Iso_2	e12	het	10	N	SDD00467	A9_20200926	93.567	1.0087	4.3125	1.1117	0.955314	555.134928	0.329987	48518820	92.43	4.5205922095127935	2.7656899805486246	1.410986973710262	2.1564025828159643	3.816392774412896	0.947789398933526	1.8229350866965048
13-SDD00468	Basal	A9	20200928	Iso_1	e13	het	10	N	SDD00468	A9_20200928	93.6358	1.2782	3.9787	1.1072	0.945795	525.205027	0.301276	38042860	91.42	4.155282860327181	1.8341801851120072	1.269760544863939	2.1424163408412245	3.9485477801105184	0.904218150639886	1.208960345836975
14-SDD00469	IFNg	A9	20200928	Iso_2	e14	het	10	N	SDD00469	A9_20200928	92.9632	1.4673	4.5045	1.065	0.945929	511.942163	0.324271	41891352	91.65	4.790321069792205	1.4609379041156565	1.091923300517313	3.8188106237059674	4.299324142908639	2.1258479144939915	0.412109650826833
15-SDD00470	LPS	A9	20200928	Iso_1	e15	het	10	N	SDD00470	A9_20200928	94.3063	1.1	3.5604	1.0333	0.945188	539.21008	0.313315	34186287	91.52	4.679163865896418	2.5967461315435356	1.11514159061932	2.303584593327129	3.541538866215227	1.0188473201992472	1.4724720573609429
16-SDD00471	Basal	A9	20200930	Iso_2	e16	het	10	Y	SDD00471	A9_20200930	91.6046	1.6608	5.5167	1.2179	0.942926	477.457044	0.273495	29021529	91.06	4.1555964382538635	1.6770965609079151	1.6863989535702286	2.2202898502672155	3.877431560658527	1.0885619528146082	1.4562867329399256
17-SDD00472	IFNg	A9	20200930	Iso_1	e17	het	10	N	SDD00472	A9_20200930	93.0565	1.4826	4.4588	1.002	0.935394	507.314045	0.311355	38261700	90.6	4.827032917402579	1.1878434223960523	1.8656293177945105	3.94138761405805	4.3651347670036635	2.166765369851511	0.9669838461896731
18-SDD00473	LPS	A9	20200930	Iso_1	e18	het	10	N	SDD00473	A9_20200930	94.4497	1.113	3.5023	0.935	0.943412	535.842146	0.317989	42989210	91.46	4.648133885420207	2.8172035149987327	1.0260415958332745	2.489064659936664	3.6333667441836774	1.015230679729059	1.589235205116581
19-SDD00474	Basal	H7	20200926	Iso_2	e19	hom	10	Y	SDD00474	H7_20200926	92.3772	1.942	4.5328	1.1479	0.94064	495.32328	0.277901	32425369	90.79	4.139158578011894	1.801709800081223	1.545432582458188	2.318458442150336	3.94138761405805	0.9783261227936076	1.8718021769015911
2-SDD00457	IFNg	WT	20200926	Iso_2	e2	wt	10	Y	SDD00457	WT_20200926	93.4723	0.7714	4.7299	1.0264	0.944821	522.91218	0.25912	28751990	91.39	4.894925108600803	1.6054298910365616	1.4973884086254774	3.9738704087542263	4.408546844483277	2.469793011977952	1.383791230901772
20-SDD00475	IFNg	H7	20200926	Iso_2	e20	hom	10	N	SDD00475	H7_20200926	93.5028	1.5868	3.861	1.0494	0.938877	505.983027	0.314101	36187100	90.84	4.815025842975365	1.7578579175523736	1.3001916620664788	3.901366425239617	4.337944122103693	1.9851308622085944	0.7323678937132266
21-SDD00476	LPS	H7	20200926	Iso_1	e21	hom	10	Y	SDD00476	H7_20200926	93.5693	1.4273	3.9031	1.1003	0.939552	515.085743	0.261375	30126263	90.81	4.497918995241116	2.262804222982201	1.1969481893889715	2.1198634561787513	3.654546775033431	0.8754687373538999	1.545432582458188
22-SDD00477	Basal	H7	20200928	Iso_1	e22	hom	10	N	SDD00477	H7_20200928	92.67	1.5932	4.5597	1.177	0.939917	488.107187	0.286396	29238237	90.75	4.2244952466871455	1.8531680973566984	1.4996230464268938	2.0095554142156695	3.908817874479198	0.48858001481867097	1.3056264580524355
23-SDD00478	IFNg	H7	20200928	Iso_2	e23	hom	10	N	SDD00478	H7_20200928	94.6037	1.2438	3.1805	0.9721	0.941391	560.86319	0.303022	32699565	91.22	4.773899789262579	1.332366019094335	1.6505798557652755	3.8611506750543896	4.324000197151533	2.154085084675602	0.5423242908253616
