Sample	Stimulation	Cell_line	Diff_start	Iso	Eve_sample	Genotype	RIN	Addl_seq	Genewiz_ID	Cell_line_Diff_start	PCT_MRNA_BASES	PCT_RIBOSOMAL_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_PF_READS_ALIGNED	summed_mean	PERCENT_DUPLICATION	total_reads	uniquely_mapped_percent
1-SDD00456	Basal	WT	20200926	Iso_2	e1	wt	9.9	Y	SDD00456	WT_20200926	91.1185	0.8811	6.7503	1.2501	0.938559	477.318492	0.244137	31245420	90.46
10-SDD00465	Basal	A9	20200926	Iso_2	e10	het	9.8	N	SDD00465	A9_20200926	92.5098	1.1474	5.1699	1.1729	0.948356	508.314157	0.29244	33830170	91.69
11-SDD00466	IFNg	A9	20200926	Iso_2	e11	het	10	N	SDD00466	A9_20200926	92.4633	1.2394	5.0158	1.2814	0.944811	496.369964	0.311075	36130587	91.2
12-SDD00467	LPS	A9	20200926	Iso_2	e12	het	10	N	SDD00467	A9_20200926	93.567	1.0087	4.3125	1.1117	0.955314	555.134928	0.329987	48518820	92.43
13-SDD00468	Basal	A9	20200928	Iso_1	e13	het	10	N	SDD00468	A9_20200928	93.6358	1.2782	3.9787	1.1072	0.945795	525.205027	0.301276	38042860	91.42
14-SDD00469	IFNg	A9	20200928	Iso_2	e14	het	10	N	SDD00469	A9_20200928	92.9632	1.4673	4.5045	1.065	0.945929	511.942163	0.324271	41891352	91.65
15-SDD00470	LPS	A9	20200928	Iso_1	e15	het	10	N	SDD00470	A9_20200928	94.3063	1.1	3.5604	1.0333	0.945188	539.21008	0.313315	34186287	91.52
16-SDD00471	Basal	A9	20200930	Iso_2	e16	het	10	Y	SDD00471	A9_20200930	91.6046	1.6608	5.5167	1.2179	0.942926	477.457044	0.273495	29021529	91.06
17-SDD00472	IFNg	A9	20200930	Iso_1	e17	het	10	N	SDD00472	A9_20200930	93.0565	1.4826	4.4588	1.002	0.935394	507.314045	0.311355	38261700	90.6
18-SDD00473	LPS	A9	20200930	Iso_1	e18	het	10	N	SDD00473	A9_20200930	94.4497	1.113	3.5023	0.935	0.943412	535.842146	0.317989	42989210	91.46
19-SDD00474	Basal	H7	20200926	Iso_2	e19	hom	10	Y	SDD00474	H7_20200926	92.3772	1.942	4.5328	1.1479	0.94064	495.32328	0.277901	32425369	90.79
2-SDD00457	IFNg	WT	20200926	Iso_2	e2	wt	10	Y	SDD00457	WT_20200926	93.4723	0.7714	4.7299	1.0264	0.944821	522.91218	0.25912	28751990	91.39
20-SDD00475	IFNg	H7	20200926	Iso_2	e20	hom	10	N	SDD00475	H7_20200926	93.5028	1.5868	3.861	1.0494	0.938877	505.983027	0.314101	36187100	90.84
21-SDD00476	LPS	H7	20200926	Iso_1	e21	hom	10	Y	SDD00476	H7_20200926	93.5693	1.4273	3.9031	1.1003	0.939552	515.085743	0.261375	30126263	90.81
22-SDD00477	Basal	H7	20200928	Iso_1	e22	hom	10	N	SDD00477	H7_20200928	92.67	1.5932	4.5597	1.177	0.939917	488.107187	0.286396	29238237	90.75
23-SDD00478	IFNg	H7	20200928	Iso_2	e23	hom	10	N	SDD00478	H7_20200928	94.6037	1.2438	3.1805	0.9721	0.941391	560.86319	0.303022	32699565	91.22
24-SDD00479	LPS	H7	20200928	Iso_1	e24	hom	10	Y	SDD00479	H7_20200928	94.2223	1.3792	3.4178	0.9807	0.943338	550.532982	0.28965	32812803	91.36
25-SDD00480	Basal	H7	20200930	Iso_1	e25	hom	10	Y	SDD00480	H7_20200930	93.2159	1.5298	4.2099	1.0443	0.93596	531.74143	0.264539	31047148	90.47
26-SDD00481	IFNg	H7	20200930	Iso_1	e26	hom	10	N	SDD00481	H7_20200930	93.2998	1.2964	4.2826	1.1212	0.940427	517.580568	0.292812	33050627	91
27-SDD00482	LPS	H7	20200930	Iso_2	e27	hom	10	N	SDD00482	H7_20200930	93.0951	1.2906	4.5583	1.056	0.942224	494.921267	0.305823	43506830	91.26
3-SDD00458	LPS	WT	20200926	Iso_1	e3	wt	10	N	SDD00458	WT_20200926	93.5967	0.7358	4.4474	1.2201	0.946136	517.809848	0.298195	42128148	91.14
4-SDD00459	Basal	WT	20200928	Iso_2	e4	wt	10	Y	SDD00459	WT_20200928	93.2468	0.9806	4.6215	1.1511	0.946564	521.937841	0.263238	33071971	91.48
5-SDD00460	IFNg	WT	20200928	Iso_1	e5	wt	10	Y	SDD00460	WT_20200928	94.6596	0.9718	3.3048	1.0638	0.943066	536.227591	0.268579	31485437	91.23
6-SDD00461	LPS	WT	20200928	Iso_2	e6	wt	9.9	Y	SDD00461	WT_20200928	93.0421	0.9067	4.9566	1.0946	0.945122	507.806561	0.259382	29593502	91.51
7-SDD00462	Basal	WT	20200930	Iso_1	e7	wt	10	Y	SDD00462	WT_20200930	92.2668	1.1456	5.4483	1.1393	0.942444	490.374398	0.257863	27814710	91.03
8-SDD00463	IFNg	WT	20200930	Iso_1	e8	wt	10	N	SDD00463	WT_20200930	94.6791	0.9469	3.4637	0.9104	0.941127	571.218191	0.321014	40013913	91.16
9-SDD00464	LPS	WT	20200930	Iso_2	e9	wt	10	N	SDD00464	WT_20200930	93.4869	0.9003	4.5274	1.0854	0.94151	525.51652	0.295825	36087659	91.05
