GENEID	logFC	AveExpr	t	P.Value	adj.P.Val	B	DE_Direction	TXNAME	GENENAME
ENSG00000000003.14	0.9578415158819569	-0.6448031584795585	2.609878434073037	0.017338839009739055	0.047804361038179664	-3.7925617763516657	FALSE	ENST00000612152.4	TSPAN6
ENSG00000000005.6	0.09221514336603345	-5.573710912539854	0.6009882832266209	0.5550434671318907	0.7111619297417471	-6.433383951434845	FALSE	ENST00000485971.1	TNMD
ENSG00000000419.12	0.11934749532387535	4.600508086406118	2.2245612417581975	0.03859606413663641	0.09508763854392817	-5.816871829742951	FALSE	ENST00000371582.8	DPM1
ENSG00000000457.14	0.7760621143298984	3.9094805841819382	13.612377814247518	3.617839041651056e-11	8.294522279469711e-10	15.482077844291947	FALSE	ENST00000470238.1	SCYL3
ENSG00000000460.17	-0.9123596770593799	2.2163424034165637	-9.823321420251771	7.949450945631897e-9	9.902039180965366e-8	10.246486840730004	FALSE	ENST00000481744.5	C1orf112
ENSG00000000938.13	-0.5477191108209601	5.468963715080564	-4.087886965133044	6.416545698176201e-4	0.0025717042821600754	-1.992999971208814	FALSE	ENST00000457296.5	FGR
ENSG00000000971.15	5.733006809930747	2.9485328567678373	11.906123346861156	3.476973297439702e-10	5.9967785974921576e-9	13.563081119418374	UP	ENST00000359637.2	CFH
ENSG00000001036.13	0.13453547079908076	6.991301638883436	2.7038203369801677	0.014181839951079453	0.040233923742850196	-5.273845545462552	FALSE	ENST00000451668.1	FUCA2
ENSG00000001084.12	0.8627275973433705	7.352578891742448	14.952049756840058	7.169042318598111e-12	2.0454757517242604e-10	16.65603707247282	FALSE	ENST00000514004.5	GCLC
ENSG00000001167.14	0.05881136099659567	5.130782511593489	1.2864412333444808	0.21394558231324357	0.3749632972277755	-7.3881154178332045	FALSE	ENST00000353205.5	NFYA
ENSG00000001460.18	0.2150625167327584	0.5406962687000424	1.4915401859393356	0.15245137131633332	0.28724979936101586	-6.0177758220461115	FALSE	ENST00000483528.1	STPG1
ENSG00000001461.17	0.8067566510010269	4.82885239818098	12.580619498854084	1.3803795846210814e-10	2.652247548723704e-9	13.941435679881835	FALSE	ENST00000475663.2	NIPAL3
ENSG00000001497.16	-0.42524455588550586	4.490845106339671	-8.383629153658774	9.171458409509479e-8	8.840801564346052e-7	7.247568613271406	FALSE	ENST00000374804.9	LAS1L
ENSG00000001561.7	1.5941561893941585	-1.1215529306950993	6.3543576676981255	4.5373995791693975e-6	2.9231324211956695e-5	4.33219275811015	UP	ENST00000321037.5	ENPP4
ENSG00000001617.12	0.45318530529230944	-3.474246657663537	0.8704462997796271	0.395063179869352	0.5685916771334694	-5.944392872902557	FALSE	ENST00000420831.1	SEMA3F
ENSG00000001626.15	-2.0231818963440817	-2.1261732357844396	-5.695710705166096	1.810438407482361e-5	1.0258046989775261e-4	3.052189263300093	DOWN	ENST00000546407.1	CFTR
ENSG00000001629.10	0.14176270177274994	5.145739798186371	3.3550472639919593	0.003372665538209163	0.011313953163303917	-3.585967144863842	FALSE	ENST00000422095.1	ANKIB1
ENSG00000001630.17	0.42341557090431436	7.904665079670102	4.921045937473684	9.835009249542394e-5	4.7635973529634235e-4	-0.47650064466527553	FALSE	ENST00000422867.1	CYP51A1
