Sample_Number	Sample_name	Cell_line	Diff_start	Treatment	Iso	Eve_sample	Genotype	RIN	Addl_seq	Genewiz_ID	Cell_line_Diff_start	Trimmomatic_mqc_generalstats_trimmomatic_dropped_pct	Picard_mqc_generalstats_picard_PCT_MRNA_BASES	Picard_mqc_generalstats_picard_PCT_RIBOSOMAL_BASES	Picard_mqc_generalstats_picard_PCT_INTRONIC_BASES	Picard_mqc_generalstats_picard_PCT_INTERGENIC_BASES	Picard_mqc_generalstats_picard_PCT_PF_READS_ALIGNED	Picard_mqc_generalstats_picard_summed_median	Picard_mqc_generalstats_picard_summed_mean	Picard_mqc_generalstats_picard_PERCENT_DUPLICATION	STAR_mqc_generalstats_star_total_reads	STAR_mqc_generalstats_star_uniquely_mapped	STAR_mqc_generalstats_star_uniquely_mapped_percent	featureCounts_mqc_generalstats_featurecounts_Assigned
1	Sample_1	WT	20200926	basal	2	e1	wt	9.9	Y	SDD00456	WT_20200926	1.14	91.1185	0.8811	6.750299999999999	1.2501	0.938559	242	477.318492	0.244137	31245420	28265345	90.46	14569437
10	Sample_10	A9	20200926	basal	2	e10	het	9.8	N	SDD00465	A9_20200926	1.08	92.5098	1.1474	5.1699	1.1729	0.948356	248	508.3141570000001	0.29244	33830170	31019869	91.69	15747995
11	Sample_11	A9	20200926	IFNg	2	e11	het	10	N	SDD00466	A9_20200926	1.02	92.4633	1.2394	5.0158000000000005	1.2814	0.944811	243	496.369964	0.311075	36130587	32952854	91.2	16612038
12	Sample_12	A9	20200926	LPS	2	e12	het	10	N	SDD00467	A9_20200926	0.79	93.56700000000001	1.0087000000000002	4.3125	1.1117	0.955314	261	555.134928	0.329987	48518820	44848107	92.43	21991517
13	Sample_13	A9	20200928	basal	1	e13	het	10	N	SDD00468	A9_20200928	0.97	93.6358	1.2782	3.9787000000000003	1.1072	0.945795	249	525.205027	0.301276	38042860	34778363	91.42	17324406
14	Sample_14	A9	20200928	IFNg	2	e14	het	10	N	SDD00469	A9_20200928	0.85	92.9632	1.4673	4.5045	1.065	0.945929	247	511.94216299999994	0.324271	41891352	38393470	91.65	19332035
15	Sample_15	A9	20200928	LPS	1	e15	het	10	N	SDD00470	A9_20200928	1.18	94.3063	1.0999999999999999	3.5603999999999996	1.0333	0.945188	252	539.21008	0.313315	34186287	31288089	91.52	15903773
16	Sample_16	A9	20200930	basal	2	e16	het	10	Y	SDD00471	A9_20200930	1.25	91.6046	1.6608	5.5167	1.2179	0.942926	241	477.45704399999994	0.273495	29021529	26427266	91.06	13368407
17	Sample_17	A9	20200930	IFNg	1	e17	het	10	N	SDD00472	A9_20200930	0.36	93.0565	1.4826000000000001	4.4588	1.002	0.935394	245	507.314045	0.311355	38261700	34665812	90.6	17670062
18	Sample_18	A9	20200930	LPS	1	e18	het	10	N	SDD00473	A9_20200930	0.39	94.449700000000007	1.113	3.5023	0.935	0.943412	251	535.842146	0.317989	42989210	39317770	91.46	19686222
19	Sample_19	H7	20200926	basal	2	e19	hom	10	Y	SDD00474	H7_20200926	0.63	92.3772	1.942	4.5328	1.1479	0.94064	244	495.32328	0.277901	32425369	29437865	90.79	14985887
2	Sample_2	WT	20200926	IFNg	2	e2	wt	10	Y	SDD00457	WT_20200926	1.42	93.47229999999999	0.7714000000000001	4.7299	1.0264	0.944821	249	522.91218	0.25912	28751990	26276790	91.39	13295470
20	Sample_20	H7	20200926	IFNg	2	e20	hom	10	N	SDD00475	H7_20200926	0.35	93.5028	1.5868	3.8609999999999998	1.0493999999999999	0.938877	242	505.983027	0.314101	36187100	32871226	90.84	16527750
21	Sample_21	H7	20200926	LPS	1	e21	hom	10	Y	SDD00476	H7_20200926	1.25	93.5693	1.4273	3.9031000000000002	1.1003	0.939552	246	515.085743	0.261375	30126263	27357795	90.81	13803940
22	Sample_22	H7	20200928	basal	1	e22	hom	10	N	SDD00477	H7_20200928	0.41	92.67	1.5932000000000002	4.559699999999999	1.1769999999999998	0.939917	239	488.107187	0.286396	29238237	26535106	90.75	13515381
23	Sample_23	H7	20200928	IFNg	2	e23	hom	10	N	SDD00478	H7_20200928	0.37	94.6037	1.2438	3.1805	0.9721000000000001	0.941391	257	560.86319	0.303022	32699565	29829801	91.22	14746289
