sample	bam_path	library	group
1-SDD00456	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	Basal
10-SDD00465	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	Basal
11-SDD00466	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	IFNg
12-SDD00467	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	LPS
13-SDD00468	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	Basal
14-SDD00469	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	IFNg
15-SDD00470	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	LPS
16-SDD00471	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	Basal
17-SDD00472	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	IFNg
18-SDD00473	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	LPS
19-SDD00474	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	Basal
2-SDD00457	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	IFNg
20-SDD00475	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	IFNg
21-SDD00476	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	LPS
22-SDD00477	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	Basal
23-SDD00478	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	IFNg
24-SDD00479	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	LPS
25-SDD00480	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	Basal
26-SDD00481	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	IFNg
27-SDD00482	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	LPS
3-SDD00458	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	LPS
4-SDD00459	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	Basal
5-SDD00460	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	IFNg
6-SDD00461	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	LPS
7-SDD00462	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	Basal
8-SDD00463	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	IFNg
9-SDD00464	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams	STRANDED	LPS
