sample	bam_path
1-SDD00456	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
10-SDD00465	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
11-SDD00466	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
12-SDD00467	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
13-SDD00468	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
14-SDD00469	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
15-SDD00470	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
16-SDD00471	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
17-SDD00472	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
18-SDD00473	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
19-SDD00474	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
2-SDD00457	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
20-SDD00475	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
21-SDD00476	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
22-SDD00477	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
23-SDD00478	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
24-SDD00479	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
25-SDD00480	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
26-SDD00481	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
27-SDD00482	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
3-SDD00458	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
4-SDD00459	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
5-SDD00460	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
6-SDD00461	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
7-SDD00462	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
8-SDD00463	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
9-SDD00464	/sc/arion/projects/ad-omics/flora/AEI/Efthymiou_Stim/bams/
