GENEID	logFC	AveExpr	t	P.Value	adj.P.Val	B	DE_Direction	TXNAME	GENENAME
ENSG00000000003.14	0.22602214683612634	-3.4936169645384685	1.7461658949673537	0.08356061787440412	0.13449560271819452	-5.109130483287574	FALSE	ENST00000494424.1	TSPAN6
ENSG00000000005.6	0.264307683501399	-3.949995249186944	4.040540597834125	9.881479740844706e-5	4.5150806161592166e-4	0.71317339238482	FALSE	ENST00000373031.5	TNMD
ENSG00000000419.12	0.056413432964031285	5.040122406950149	0.9798296669068293	0.3293101164981751	0.42260486445754447	-6.481682538819178	FALSE	ENST00000371582.8	DPM1
ENSG00000000457.14	0.12954700482546416	3.6842589144939217	1.346661739230118	0.18084423197931201	0.2578538174048123	-5.890949927152108	FALSE	ENST00000367772.8	SCYL3
ENSG00000000460.17	-0.10620707247804966	3.0216296477380054	-0.9620046141654647	0.3381472565584219	0.4315302170774419	-6.2360244193293815	FALSE	ENST00000472795.5	C1orf112
ENSG00000000938.13	0.5830766500830623	8.481697403659718	6.060949430620699	1.9174894670816945e-8	3.00051233493997e-7	8.555771040189061	FALSE	ENST00000374005.8	FGR
ENSG00000000971.15	0.6005092634018948	-1.7839777424291832	2.130718513562103	0.035329450504537646	0.06473196898220857	-3.951616207391356	FALSE	ENST00000359637.2	CFH
ENSG00000001036.13	-0.2536058540679069	6.626346677446323	-3.2920605461036163	0.0013358098984863982	0.004020809878240882	-1.967468165490975	FALSE	ENST00000002165.10	FUCA2
ENSG00000001084.12	-1.3306902325935392	5.662706076688045	-6.663716353828186	1.0859402957992517e-9	2.3375355195786107e-8	11.633412972557675	DOWN	ENST00000514933.2	GCLC
ENSG00000001167.14	0.32653680585856115	4.707206999102121	3.9146308811702166	1.5695354038460494e-4	6.676781173700237e-4	0.2474208330906862	FALSE	ENST00000353205.5	NFYA
ENSG00000001460.18	0.5444533915054289	0.31680390686551496	3.586055088411665	5.013463528579233e-4	0.0017807748810716594	-0.3708683141915756	FALSE	ENST00000438866.1	STPG1
ENSG00000001461.17	-0.1029918157213096	3.2857893374821128	-1.163072342391544	0.2473051213736587	0.33427500683223327	-6.06270433808016	FALSE	ENST00000432012.1	NIPAL3
ENSG00000001497.16	-0.5972016393484122	4.233476405932283	-5.3655114205968175	4.4889845203712884e-7	5.059834263457106e-6	5.895179235379784	FALSE	ENST00000374811.7	LAS1L
ENSG00000001561.7	1.5942739296687785	3.427377273803703	8.025972820787736	1.1713920038445156e-12	6.063030987122985e-11	18.42297079811911	UP	ENST00000321037.5	ENPP4
ENSG00000001617.12	0.6963514224301344	-3.6645032134827993	4.434924362857029	2.1845351472503894e-5	1.496254301343086e-4	2.2744212645093835	FALSE	ENST00000413852.5	SEMA3F
ENSG00000001626.15	0.09551417133704582	-3.885660561941027	1.0374270988489338	0.30180121853506775	0.3933705907584669	-6.310015447632863	FALSE	ENST00000647978.1	CFTR
ENSG00000001629.10	0.17823274358477867	3.255675826270561	1.5417206580043694	0.1259998265615745	0.18991705048618715	-5.5585010281983624	FALSE	ENST00000265742.8	ANKIB1
ENSG00000001630.17	-0.16320640902677994	5.331061196285414	-1.530695082166481	0.12870201283423371	0.19322781825985652	-5.835385595802038	FALSE	ENST00000003100.13	CYP51A1
ENSG00000001631.15	-0.0037259234178032116	4.297436729158318	-0.06728563546173592	0.9464758815741134	0.961637391231682	-6.864600980248457	FALSE	ENST00000394507.5	KRIT1
ENSG00000002016.17	-0.11702552631179124	1.7266276230994457	-0.9555112533079289	0.34140448925707645	0.4348622119952687	-6.049162847177854	FALSE	ENST00000542297.1	RAD52
ENSG00000002079.14	0.14533500943576552	-3.4925000850131456	1.019612428969932	0.31013898948686447	0.4024239960844064	-6.085318434306076	FALSE	ENST00000452010.2	MYH16
ENSG00000002330.13	-0.1850393543763839	4.311217531482808	-2.018342790873036	0.04597727799096992	0.08101381694048167	-4.871422698180865	FALSE	ENST00000544785.1	BAD
ENSG00000002549.12	0.7803307785452274	8.214560881240303	4.145874883112153	6.661299659399521e-5	3.5280723315834014e-4	0.6832197075077273	FALSE	ENST00000509583.1	LAP3
ENSG00000002586.20	-0.16742585207714858	6.377402308782384	-1.586627870327425	0.11545388065838456	0.17661881649475208	-5.873331468222683	FALSE	ENST00000624481.4	CD99
ENSG00000002587.10	0.3995761216274536	5.6226524834069656	2.4934842724164366	0.014131021807135526	0.02966316629192667	-4.002945015877359	FALSE	ENST00000510712.1	HS3ST1
ENSG00000002726.20	-0.643847676121491	0.02588137366103267	-2.270652791911143	0.02510597908184559	0.048449421069972236	-3.8016714206964544	FALSE	ENST00000467291.5	AOC1
ENSG00000002745.13	-0.2797789970461326	-3.212837887910009	-1.698024227552526	0.09231698436284308	0.14626320396217737	-5.008097539697236	FALSE	ENST00000361301.6	WNT16
ENSG00000002746.15	0.1979835229650064	-3.9288868119606954	2.417104854772844	0.017280809563367836	0.035212351389424704	-4.031707415782019	FALSE	ENST00000492310.5	HECW1
ENSG00000002822.15	-0.2627464434291631	5.937391598837495	-5.255488692735422	7.260008080021801e-7	7.78087846581838e-6	5.271775787222065	FALSE	ENST00000459731.1	MAD1L1
ENSG00000002834.18	0.26667317885226854	7.519279137154868	3.9169766739766865	1.5561998128133862e-4	6.630075238293178e-4	-0.04795095887020118	FALSE	ENST00000579123.1	LASP1
