GENEID	logFC	AveExpr	t	P.Value	adj.P.Val	B	DE_Direction	TXNAME	GENENAME
ENSG00000000003.14	0.5733105545383889	-3.4395505061815954	3.892038987962413	1.6981605030513103e-4	3.067849407018278e-4	-0.42350730022775984	FALSE	ENST00000496771.5	TSPAN6
ENSG00000000005.6	0.4801298403368966	-3.952661919247277	7.192722964348802	7.830155816200336e-11	3.7674332787662487e-10	13.484276896298523	FALSE	ENST00000485971.1	TNMD
ENSG00000000419.12	0.09870925214523336	4.939781708304718	1.613461662146337	0.10947727665464371	0.13582958540163276	-6.731661659851312	FALSE	ENST00000494752.1	DPM1
ENSG00000000457.14	0.7219851442451681	3.8596977032421513	7.888342784590451	2.299157799920705e-12	1.508341081457093e-11	17.008683876088938	FALSE	ENST00000367771.11	SCYL3
ENSG00000000460.17	0.23863045688730505	3.0833460137106785	2.5626715195370027	0.011723063595954918	0.016785505131239147	-4.554271871165465	FALSE	ENST00000498289.5	C1orf112
ENSG00000000938.13	-0.4043584710321315	7.86290000700134	-4.646253468776947	9.335372083949285e-6	1.9731523951270027e-5	1.5364710488634898	FALSE	ENST00000468038.1	FGR
ENSG00000000971.15	1.693301735522047	-1.3105895169454926	6.704507193597638	8.731952352786849e-10	3.4627980682057468e-9	11.74770150544201	UP	ENST00000359637.2	CFH
ENSG00000001036.13	0.17955286174781526	6.731864466525419	3.202312202774954	0.0017779923383902418	0.0028326342833979185	-3.319426756730433	FALSE	ENST00000367585.1	FUCA2
ENSG00000001084.12	1.0082478390414202	6.7561461805119505	7.001210985740967	2.0310735957902272e-10	9.042835146274326e-10	12.205442683790624	UP	ENST00000513939.6	GCLC
ENSG00000001167.14	0.3872858249760834	4.615465740401717	4.94278556424122	2.7424358845349593e-6	6.231381258121132e-6	3.1424016358515194	FALSE	ENST00000341376.10	NFYA
ENSG00000001460.18	0.5782671315601203	0.19107072316543589	4.3596807800427175	2.919363262845968e-5	5.791573625920292e-5	1.501024254423104	FALSE	ENST00000498488.5	STPG1
ENSG00000001461.17	-0.1264306232468654	3.1484188975397402	-1.412778916293736	0.16051226301202948	0.19335184139904013	-6.778616279697581	FALSE	ENST00000432012.1	NIPAL3
ENSG00000001497.16	-1.1621614776376268	3.835268466906314	-11.732793228653959	3.540394254243944e-21	4.631541967766634e-20	37.236259000817576	DOWN	ENST00000374811.7	LAS1L
ENSG00000001561.7	2.152801964158898	3.5621935822348396	11.535756606566194	1.003203111790971e-20	1.2710250804811352e-19	36.228729176991166	UP	ENST00000321037.5	ENPP4
ENSG00000001617.12	0.5275107908851786	-3.8162834819685805	4.532313382053713	1.4767567677975085e-5	3.0413584055405204e-5	1.65936605857328	FALSE	ENST00000470737.1	SEMA3F
ENSG00000001626.15	0.40166818538048465	-3.8595097319882483	3.9349367486106823	1.4527249376173858e-4	2.648256214684806e-4	-0.5610399510786594	FALSE	ENST00000546407.1	CFTR
ENSG00000001629.10	1.2563961659391023	3.6706432192741185	12.16613604069196	3.6105077115956833e-22	5.0773482366792175e-21	39.52420008999782	UP	ENST00000422095.1	ANKIB1
ENSG00000001630.17	-0.6543519536988436	4.960569673073265	-5.661564936066389	1.1864508539516701e-7	3.283238876308636e-7	6.166083311055232	FALSE	ENST00000003100.13	CYP51A1
ENSG00000001631.15	0.06872340551202973	4.2116435115721105	1.2177753585572464	0.22588590166077416	0.264723805543307	-7.18766475640024	FALSE	ENST00000440209.5	KRIT1
ENSG00000002016.17	-0.43523236511117436	1.4397711145011398	-3.3492042435825717	0.0011069859335232158	0.001811059179365219	-2.1246609247056307	FALSE	ENST00000463750.5	RAD52
ENSG00000002079.14	0.06561151880035505	-3.6416484751607907	0.5758318798346869	0.5658918306391727	0.6081131806389498	-7.514935260273297	FALSE	ENST00000439784.7	MYH16
ENSG00000002330.13	-0.6504444899703012	3.9598390093410383	-6.659269239228859	1.0883596539823577e-9	4.246962684072357e-9	10.910213498754388	FALSE	ENST00000493798.1	BAD
ENSG00000002549.12	2.681103082541862	9.04886573100183	21.66632380626339	1.0100249984283212e-41	6.6374296712002975e-40	84.1037026093119	UP	ENST00000503467.1	LAP3
ENSG00000002586.20	-0.2240196486856218	6.226673179475294	-2.1437022958942564	0.03423442033195013	0.04584734242447735	-5.926932512025253	FALSE	ENST00000645950.1	CD99
ENSG00000002587.10	-1.8460790801329572	4.372076659457608	-9.499972157361857	4.986358857155619e-16	4.42355343498655e-15	25.356117465663637	DOWN	ENST00000514690.5	HS3ST1
ENSG00000002726.20	-0.5106362873658313	-0.026068098412540635	-1.8021612913916492	0.07422789097437034	0.09467206533042323	-5.668045285845817	FALSE	ENST00000416793.6	AOC1
