GENEID	logFC	AveExpr	t	P.Value	adj.P.Val	B	DE_Direction	TXNAME	GENENAME
ENSG00000000003.14	0.34095281901543717	-3.9352570489209042	1.8412810912679525	0.06981522710134896	0.11128684504636059	-5.765308194122677	FALSE	ENST00000373020.8	TSPAN6
ENSG00000000005.6	0.3934468949400328	-4.505671221506812	4.4733466471608745	2.904960523039698e-5	1.5102828534169604e-4	1.1911728876254877	FALSE	ENST00000485971.1	TNMD
ENSG00000000419.12	-0.4290180917345468	3.0420007268071467	-1.3962599574590047	0.1670459180496789	0.2321608564999649	-6.360194507484728	FALSE	ENST00000466152.5	DPM1
ENSG00000000457.14	0.15965174157724232	3.8221760448956568	1.21003629296017	0.23033304437252225	0.3043949440055478	-6.6954103708747885	FALSE	ENST00000470238.1	SCYL3
ENSG00000000460.17	-0.13646648646259804	1.6712804980377343	-0.47076074779468013	0.6392744475783141	0.7058125902969821	-7.057416019236269	FALSE	ENST00000359326.9	C1orf112
ENSG00000000938.13	0.21836882030461402	8.118127515766657	1.7829990134232596	0.07891945309451487	0.12342138529823422	-6.455532817483924	FALSE	ENST00000475472.5	FGR
ENSG00000000971.15	0.5465452743007576	-3.194305747382063	1.7173495690226832	0.09033430806034155	0.1383397526050694	-5.693117043243725	FALSE	ENST00000496761.1	CFH
ENSG00000001036.13	-0.9428892728265991	4.04127800805829	-3.0972125456210966	0.0028098948583655274	0.007092149621861259	-2.9079134403280094	FALSE	ENST00000002165.10	FUCA2
ENSG00000001084.12	-2.80277630640606	4.789980432804119	-12.904576516870746	3.4637760479927605e-20	3.0569747943562774e-18	35.47346600008755	DOWN	ENST00000504525.1	GCLC
ENSG00000001167.14	0.7762312280933206	5.996586496182845	4.553827407574906	2.165405742630464e-5	1.336323583961375e-4	1.4772993672202173	FALSE	ENST00000341376.10	NFYA
ENSG00000001460.18	1.2168453755782727	-1.5372634468607458	3.383415605512473	0.0011755344420027137	0.003423003912613665	-1.5843443152521024	UP	ENST00000492753.1	STPG1
ENSG00000001461.17	-0.07496432211580731	3.9549450178091106	-0.518318466041903	0.6058697069226961	0.6762440394141667	-7.307511649811249	FALSE	ENST00000339255.2	NIPAL3
ENSG00000001497.16	-1.6685177296762699	1.8245245368199647	-5.2113861401172885	1.8046323628878488e-6	1.6863758656962567e-5	4.383608057810104	DOWN	ENST00000469091.1	LAS1L
ENSG00000001561.7	2.75094223772171	2.512588313256703	7.91029702165233	2.663133407517915e-11	6.030008168732839e-10	15.261914349603108	UP	ENST00000321037.5	ENPP4
ENSG00000001617.12	1.5565049981411434	-3.452095787796615	4.750137171553967	1.0469756324881293e-5	7.497410249597197e-5	2.6973406531700874	UP	ENST00000002829.8	SEMA3F
