gene	sample	TPM
ADAR	AD-1-Basal	20.65
ADAR	AD-1-IFNb	45.5
ADAR	AD-1-LPS	16.94
ADAR	AD-10-Basal	45.99
ADAR	AD-10-IFNb	126.65
ADAR	AD-10-LPS	96.87
ADAR	AD-11-Basal	39.01
ADAR	AD-11-IFNb	118.98
ADAR	AD-11-LPS	72.03
ADAR	AD-2-Basal	109.85
ADAR	AD-2-IFNb	278.07
ADAR	AD-2-LPS	150.19
ADAR	AD-3-Basal	23.74
ADAR	AD-3-IFNb	160.12
ADAR	AD-3-LPS	112.5
ADAR	AD-4-Basal	101.98
ADAR	AD-4-IFNb	270.58
ADAR	AD-4-LPS	147.63
ADAR	AD-5-Basal	76
ADAR	AD-5-IFNb	273.33
ADAR	AD-5-LPS	87.21
ADAR	AD-6-Basal	108.75
ADAR	AD-6-IFNb	296.29
ADAR	AD-6-LPS	189.38
ADAR	AD-7-Basal	98.58
ADAR	AD-7-IFNb	242.79
ADAR	AD-7-LPS	123.94
ADAR	AD-8-Basal	123.08
ADAR	AD-8-IFNb	147.2
ADAR	AD-8-LPS	124.91
ADAR	AD-9-Basal	28.21
ADAR	AD-9-IFNb	56.07
ADAR	AD-9-LPS	60.69
ADAR	Control-1-Basal	22.25
ADAR	Control-1-IFNb	44.04
ADAR	Control-1-LPS	29.36
ADAR	Control-10-Basal	29.63
ADAR	Control-10-IFNb	105.31
ADAR	Control-10-LPS	47.49
ADAR	Control-11-Basal	31.28
ADAR	Control-11-IFNb	93.71
ADAR	Control-11-LPS	48.03
ADAR	Control-2-Basal	65.73
ADAR	Control-2-IFNb	259.03
ADAR	Control-2-LPS	87.49
ADAR	Control-3-Basal	92
ADAR	Control-3-IFNb	249.44
ADAR	Control-3-LPS	99.43
ADAR	Control-4-Basal	55.72
ADAR	Control-4-IFNb	294.33
ADAR	Control-4-LPS	102.65
ADAR	Control-5-Basal	140.39
ADAR	Control-5-IFNb	229.83
ADAR	Control-5-LPS	266.55
ADAR	Control-6-Basal	49.58
ADAR	Control-6-IFNb	258.94
ADAR	Control-6-LPS	39.13
ADAR	Control-7-Basal	71.89
ADAR	Control-7-IFNb	123.7
ADAR	Control-7-LPS	100.58
ADAR	Control-8-Basal	70.01
ADAR	Control-8-IFNb	164.34
ADAR	Control-8-LPS	50.68
ADAR	Control-9-Basal	23.2
ADAR	Control-9-IFNb	70.79
ADAR	Control-9-LPS	21.82
ADAR	MCI-1-Basal	12.42
ADAR	MCI-1-IFNb	44.82
ADAR	MCI-1-LPS	13.54
ADAR	MCI-10-Basal	53.83
ADAR	MCI-10-IFNb	206.84
ADAR	MCI-10-LPS	50.97
ADAR	MCI-11-Basal	67.33
ADAR	MCI-11-IFNb	175.15
ADAR	MCI-11-LPS	55.98
ADAR	MCI-2-Basal	105.42
ADAR	MCI-2-IFNb	282.29
ADAR	MCI-2-LPS	172.23
ADAR	MCI-3-Basal	109.09
ADAR	MCI-3-IFNb	203.09
ADAR	MCI-3-LPS	104.61
ADAR	MCI-4-Basal	127.2
ADAR	MCI-4-IFNb	278.69
ADAR	MCI-4-LPS	88.74
ADAR	MCI-5-Basal	125.93
ADAR	MCI-5-IFNb	265.56
ADAR	MCI-5-LPS	201.18
ADAR	MCI-6-Basal	152.48
ADAR	MCI-6-IFNb	296.96
ADAR	MCI-6-LPS	142.8
